institution_id,name,type,state,city,url,accreditation_status,source,last_updated
112,New Hampshire,Law School,,,http://law.unh.edu,ABA Approved (1974),ABA,2025-12-26 18:45:30
113,New Mexico,Law School,,,http://lawschool.unm.edu,ABA Approved (1948),ABA,2025-12-26 18:45:30
114,New York Law School,Law School,,,http://www.nyls.edu,ABA Approved (1954),ABA,2025-12-26 18:45:30
115,New York University,Law School,,,http://www.law.nyu.edu,ABA Approved (1930),ABA,2025-12-26 18:45:30
116,North Carolina,Law School,,,https://law.unc.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
117,North Carolina Central,Law School,,,http://law.nccu.edu,ABA Approved (1950),ABA,2025-12-26 18:45:30
118,North Dakota,Law School,,,http://www.law.und.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
119,Northeastern,Law School,,,http://www.northeastern.edu/law,ABA Approved (1969),ABA,2025-12-26 18:45:30
120,Northern Illinois,Law School,,,http://law.niu.edu,ABA Approved (1978),ABA,2025-12-26 18:45:30
121,Northern Kentucky,Law School,,,http://www.nku.edu/~chase,ABA Approved (1954),ABA,2025-12-26 18:45:30
122,Northwestern,Law School,,,http://www.law.northwestern.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
123,Notre Dame,Law School,,,https://law.nd.edu,ABA Approved (1925),ABA,2025-12-26 18:45:30
124,Nova Southeastern,Law School,,,https://www.law.nova.edu,ABA Approved (1975),ABA,2025-12-26 18:45:30
125,Ohio Northern,Law School,,,https://law.onu.edu,ABA Approved (1948),ABA,2025-12-26 18:45:30
126,Oklahoma,Law School,,,http://www.law.ou.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
127,Oklahoma City,Law School,,,http://www.okcu.edu/law,ABA Approved (1960),ABA,2025-12-26 18:45:30
128,Oregon,Law School,,,https://law.uoregon.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
129,Pace,Law School,,,http://www.law.pace.edu,ABA Approved (1978),ABA,2025-12-26 18:45:30
130,Penn State-Dickinson Law,Law School,Penn State,Dickinson Law,https://dickinsonlaw.psu.edu,ABA Approved (1931),ABA,2025-12-26 18:45:30
131,Pennsylvania,Law School,,,http://www.law.upenn.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
132,Pepperdine,Law School,,,http://law.pepperdine.edu,ABA Approved (1972),ABA,2025-12-26 18:45:30
133,Pittsburgh,Law School,,,http://www.law.pitt.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
134,Pontifical Catholic of Puerto Rico,Law School,,,http://www.pucpr.edu,ABA Approved (1967),ABA,2025-12-26 18:45:30
135,Puerto Rico,Law School,,,http://derecho.uprrp.edu,ABA Approved (1945),ABA,2025-12-26 18:45:30
136,Quinnipiac,Law School,,,http://law.quinnipiac.edu,ABA Approved (1992),ABA,2025-12-26 18:45:30
137,Regent,Law School,,,http://www.regent.edu/acad/schlaw,ABA Approved (1989),ABA,2025-12-26 18:45:30
138,Richmond,Law School,,,http://law.richmond.edu,ABA Approved (1928),ABA,2025-12-26 18:45:30
139,Roger Williams,Law School,,,http://law.rwu.edu,ABA Approved (1995),ABA,2025-12-26 18:45:30
140,Rutgers,Law School,,,http://www.law.rutgers.edu,ABA Approved (1941),ABA,2025-12-26 18:45:30
141,Saint Louis,Law School,,,http://law.slu.edu,ABA Approved (1924),ABA,2025-12-26 18:45:30
142,Samford,Law School,,,http://cumberland.samford.edu,ABA Approved (1949),ABA,2025-12-26 18:45:30
143,San Diego,Law School,,,http://www.sandiego.edu/law,ABA Approved (1961),ABA,2025-12-26 18:45:30
144,San Francisco,Law School,,,http://www.usfca.edu/law,ABA Approved (1935),ABA,2025-12-26 18:45:30
145,Santa Clara,Law School,,,http://www.scu.edu/law,ABA Approved (1937),ABA,2025-12-26 18:45:30
146,Seattle,Law School,,,http://www.law.seattleu.edu,ABA Approved (1994),ABA,2025-12-26 18:45:30
147,Seton Hall,Law School,,,http://law.shu.edu,ABA Approved (1951),ABA,2025-12-26 18:45:30
148,South Carolina,Law School,,,http://www.law.sc.edu,ABA Approved (1925),ABA,2025-12-26 18:45:30
149,South Dakota,Law School,,,http://www.usd.edu/law,ABA Approved (1923),ABA,2025-12-26 18:45:30
150,South Texas-Houston,Law School,South Texas,Houston,http://www.stcl.edu,ABA Approved (1959),ABA,2025-12-26 18:45:30
151,Southern California,Law School,,,http://gould.usc.edu,ABA Approved (1924),ABA,2025-12-26 18:45:30
152,Southern Illinois,Law School,,,https://law.siu.edu,ABA Approved (1974),ABA,2025-12-26 18:45:30
153,Southern Methodist,Law School,,,https://www.smu.edu/law,ABA Approved (1927),ABA,2025-12-26 18:45:30
154,Southern University,Law School,,,http://www.sulc.edu,ABA Approved (1953),ABA,2025-12-26 18:45:30
155,Southwestern,Law School,,,http://www.swlaw.edu,ABA Approved (1970),ABA,2025-12-26 18:45:30
156,St. John's,Law School,,,http://www.stjohns.edu/law,ABA Approved (1937),ABA,2025-12-26 18:45:30
157,St. Mary's,Law School,,,http://www.stmarytx.edu/law,ABA Approved (1948),ABA,2025-12-26 18:45:30
158,St. Thomas (Florida),Law School,,,http://www.stu.edu,ABA Approved (1988),ABA,2025-12-26 18:45:30
159,St. Thomas (Minnesota),Law School,,,http://www.stthomas.edu/law,ABA Approved (2003),ABA,2025-12-26 18:45:30
160,Stanford,Law School,,,http://www.law.stanford.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
